iter	MultiClass
0	1.085322844
1	1.071570239
2	1.058184597
3	1.047328891
4	1.034942393
5	1.023582522
6	1.012202289
7	1.001968154
8	0.991839603
9	0.9818701637
10	0.9731219896
11	0.9636064481
12	0.9552669035
13	0.9461048127
14	0.9375038572
15	0.92868804
16	0.9211292981
17	0.9115659475
18	0.9041253036
19	0.8951805116
20	0.8866925579
21	0.8773272738
22	0.8691931724
23	0.8617055551
24	0.8538169994
25	0.8484253517
26	0.8386746753
27	0.8325263555
28	0.8272279057
29	0.821442686
30	0.8154586059
31	0.8089572471
32	0.8039381161
33	0.7974219719
34	0.7898426482
35	0.7823579956
36	0.7757666425
37	0.7672918981
38	0.7626433369
39	0.7558708654
40	0.7498927668
41	0.7442213456
42	0.7367908313
43	0.7315757641
44	0.7258335744
45	0.7197655636
46	0.7132914483
47	0.7058366378
48	0.6997618853
49	0.6948654522
50	0.6894212093
51	0.684070818
52	0.6794357655
53	0.6746484672
54	0.6688452372
55	0.6633327103
56	0.6557900441
57	0.6511513857
58	0.6460172498
59	0.6398184941
60	0.6337269961
61	0.6273519128
62	0.6217437971
63	0.6172473193
64	0.6128510711
65	0.6086055322
66	0.6028842687
67	0.598820104
68	0.5930377261
69	0.5891743535
70	0.5850247334
71	0.5805896476
72	0.5761490004
73	0.5709593729
74	0.5672351855
75	0.5639967688
76	0.5600096663
77	0.5570907099
78	0.5537071509
79	0.5501956955
80	0.5471293032
81	0.5443048014
82	0.5411197689
83	0.5360807786
84	0.5322410522
85	0.528392523
86	0.5251273677
87	0.5221834583
88	0.5184612703
89	0.5153149769
90	0.5120589438
91	0.5086703858
92	0.5058718565
93	0.5018782904
94	0.4974799444
95	0.4939313744
96	0.4921855881
97	0.4888389274
98	0.4868291245
99	0.4834179636
100	0.480842777
101	0.4768015098
102	0.4729719501
103	0.4705283135
104	0.4671598146
105	0.4638199074
106	0.4600327029
107	0.4577876565
108	0.4555604747
109	0.4521037991
110	0.44948709
111	0.4472215929
112	0.4442297967
113	0.4415442346
114	0.4386725529
115	0.4360405046
116	0.4333416196
117	0.4298683678
118	0.4282446046
119	0.4254134047
120	0.4231607986
121	0.420643967
122	0.417715479
123	0.4152611916
124	0.4132222702
125	0.410893331
126	0.4086110442
127	0.4070213887
128	0.4044005182
129	0.4012789386
130	0.3987715496
131	0.3965765427
132	0.394830295
133	0.392996924
134	0.39161228
135	0.3896621622
136	0.3872656864
137	0.3849986376
138	0.3828954689
139	0.3806965625
140	0.3788744284
141	0.376772735
142	0.374907324
143	0.3731866074
144	0.3712144524
145	0.3698579246
146	0.3672735083
147	0.3654898907
148	0.3634401936
149	0.3615063273
150	0.3592264333
151	0.3575147054
152	0.356234697
153	0.3544004657
154	0.3520982655
155	0.3494682797
156	0.3473834315
157	0.3453423336
158	0.3438226792
159	0.342238305
160	0.3405242783
161	0.3387599053
162	0.3364736451
163	0.3341350051
164	0.3320361888
165	0.33010987
166	0.3285483779
167	0.3273105897
168	0.3256399982
169	0.3235098574
170	0.3222030306
171	0.3199005796
172	0.3184623111
173	0.3164550515
174	0.3145988475
175	0.313292238
176	0.3117354428
177	0.3103668676
178	0.3090051234
179	0.3075068847
180	0.3061678033
181	0.3043806066
182	0.302630207
183	0.3010259371
184	0.299636418
185	0.2983534287
186	0.296628677
187	0.2951464551
188	0.2934730428
189	0.2916111137
190	0.2901525382
191	0.2883080901
192	0.2869424806
193	0.2854195915
194	0.2840234246
195	0.2828771592
196	0.2817627662
197	0.2803814982
198	0.279277013
199	0.2780585029
200	0.2768797876
201	0.2753631292
202	0.2741037053
203	0.2725561198
204	0.2714360306
205	0.2704920054
206	0.2692850953
207	0.268257434
208	0.2672307552
209	0.2658912334
210	0.2648775399
211	0.2634598577
212	0.2625555787
213	0.2612885041
214	0.2602552308
215	0.2592272956
216	0.2580419801
217	0.2565620878
218	0.2558237471
219	0.2546191044
220	0.2532637802
221	0.2525170589
222	0.2514966877
223	0.2507287942
224	0.2498184128
225	0.248320385
226	0.2469902561
227	0.2459060445
228	0.2450209214
229	0.2441444796
230	0.2434302934
231	0.2427573821
232	0.2418768558
233	0.2402559247
234	0.2394121393
235	0.2381942558
236	0.2372274487
237	0.236204772
238	0.2348846682
239	0.2339588264
240	0.2328225235
241	0.2313199891
242	0.2302708455
243	0.2291092206
244	0.2279162002
245	0.2272543455
