iter	Passed	Remaining
0	142	70994
1	145	36157
2	147	24433
3	150	18610
4	152	15085
5	154	12760
6	157	11090
7	160	9858
8	163	8903
9	165	8113
10	168	7474
11	170	6943
12	173	6506
13	176	6137
14	179	5797
15	181	5491
16	184	5233
17	186	4989
18	189	4805
19	192	4616
20	195	4450
21	197	4288
22	200	4149
23	202	4011
24	204	3893
25	207	3784
26	210	3686
27	212	3587
28	215	3500
29	217	3415
30	220	3338
31	222	3260
32	225	3197
33	228	3132
34	230	3067
35	233	3005
36	236	2958
37	239	2909
38	242	2861
39	244	2810
40	246	2765
41	249	2720
42	251	2676
43	255	2644
44	257	2607
45	260	2570
46	262	2530
47	265	2495
48	267	2460
49	270	2432
50	272	2402
51	275	2376
52	278	2347
53	281	2321
54	283	2292
55	286	2269
56	288	2243
57	292	2225
58	294	2200
59	297	2180
60	299	2155
61	302	2135
62	304	2113
63	307	2097
64	310	2076
65	312	2057
66	315	2037
67	317	2019
68	320	2002
69	323	1989
70	326	1971
71	328	1954
72	331	1937
73	333	1921
74	336	1907
75	339	1894
76	341	1877
77	344	1861
78	346	1846
79	348	1831
80	352	1821
81	354	1808
82	357	1794
83	359	1779
84	362	1767
85	364	1753
86	367	1742
87	369	1731
88	372	1721
89	375	1708
90	377	1698
91	380	1686
92	383	1677
93	385	1666
94	389	1660
95	392	1649
96	395	1642
97	397	1632
98	400	1622
99	402	1611
100	406	1604
101	408	1594
102	411	1586
103	414	1578
104	417	1569
105	419	1560
106	422	1552
107	425	1544
108	428	1536
109	430	1527
110	433	1518
111	435	1509
112	438	1501
113	441	1495
114	444	1488
115	447	1480
116	449	1471
117	451	1462
118	455	1457
119	458	1452
120	460	1443
121	463	1436
122	466	1428
123	469	1422
124	471	1415
125	474	1408
126	477	1401
127	480	1395
128	482	1387
129	485	1380
130	487	1372
131	490	1367
132	493	1360
133	495	1353
134	498	1346
135	500	1339
136	503	1334
137	506	1328
138	509	1322
139	511	1314
140	513	1308
141	516	1302
142	519	1296
143	521	1289
144	524	1285
145	527	1278
146	529	1272
147	532	1265
148	534	1260
149	538	1256
150	541	1251
151	543	1245
152	546	1239
153	548	1232
154	551	1228
155	554	1222
156	557	1217
157	559	1210
158	562	1206
159	564	1199
160	567	1194
161	570	1189
162	573	1185
163	575	1179
164	578	1174
165	581	1169
166	583	1164
167	586	1158
168	589	1153
169	591	1148
170	594	1143
171	596	1138
172	600	1134
173	602	1129
174	605	1124
175	607	1118
176	610	1113
177	612	1108
178	615	1103
179	617	1098
180	620	1093
181	623	1088
182	625	1083
183	628	1078
184	630	1073
185	633	1069
186	636	1065
187	639	1061
188	641	1055
189	644	1051
190	646	1045
191	649	1041
192	651	1036
193	654	1032
194	657	1027
195	659	1023
196	662	1018
197	664	1014
198	667	1009
199	670	1006
200	673	1002
201	676	997
202	678	993
203	681	988
204	683	984
205	687	980
206	689	975
207	692	972
208	694	967
209	697	963
210	699	958
211	702	954
212	706	951
213	709	948
214	713	945
215	715	941
216	718	937
217	721	932
218	724	929
219	726	924
220	729	921
221	732	916
222	735	913
223	737	909
224	740	905
225	743	900
226	745	896
227	748	892
228	751	889
229	754	886
230	757	882
231	760	878
232	763	874
233	765	870
234	768	866
235	770	862
236	773	858
237	776	854
238	778	850
239	781	846
240	784	842
241	786	838
242	789	835
243	791	830
244	795	827
245	797	823
246	800	820
247	802	815
248	805	811
249	808	808
250	811	804
251	814	801
252	816	797
253	818	793
254	821	789
255	823	785
256	826	781
257	829	778
258	832	774
259	834	770
260	837	767
261	840	763
262	842	759
263	845	755
264	848	752
265	850	748
266	853	744
267	855	740
268	858	737
269	860	733
270	863	729
271	866	726
272	869	722
273	871	718
274	874	715
275	877	711
276	879	708
277	882	704
278	884	700
279	887	697
280	889	693
281	892	689
282	895	686
283	898	683
284	900	679
285	903	676
286	906	672
287	909	669
288	911	665
289	914	662
290	916	658
291	919	654
292	921	651
293	925	648
294	927	644
295	930	641
296	932	637
297	935	633
298	937	630
299	940	627
300	943	623
301	946	620
302	948	616
303	951	613
304	953	609
305	956	606
306	958	602
307	962	599
308	965	596
309	967	593
310	970	589
311	972	586
312	975	582
313	978	579
314	981	576
315	983	572
316	986	569
317	988	565
318	991	562
319	994	559
320	996	555
321	999	552
322	1001	548
323	1003	545
324	1006	541
325	1009	538
326	1012	535
327	1014	532
328	1017	528
329	1020	525
330	1022	522
331	1024	518
332	1028	515
333	1030	512
334	1034	509
335	1036	505
336	1039	502
337	1041	499
338	1044	496
339	1047	492
340	1050	489
341	1052	486
342	1055	483
343	1058	479
344	1060	476
345	1063	473
346	1065	470
347	1068	466
348	1071	463
349	1073	460
350	1076	456
351	1078	453
352	1081	450
353	1083	447
354	1086	443
355	1089	440
356	1092	437
357	1094	434
358	1097	431
359	1099	427
360	1102	424
361	1105	421
362	1107	418
363	1110	414
364	1112	411
365	1115	408
366	1117	405
367	1120	402
368	1123	398
369	1126	395
370	1128	392
371	1130	389
372	1133	385
373	1136	382
374	1138	379
375	1141	376
376	1143	373
377	1146	370
378	1148	366
379	1151	363
380	1153	360
381	1157	357
382	1160	354
383	1162	351
384	1165	348
385	1168	345
386	1170	341
387	1173	338
388	1175	335
389	1178	332
390	1180	329
391	1183	326
392	1186	323
393	1188	319
394	1191	316
395	1193	313
396	1196	310
397	1198	307
398	1201	304
399	1204	301
400	1207	298
401	1209	294
402	1211	291
403	1214	288
404	1218	285
405	1221	282
406	1223	279
407	1225	276
408	1228	273
409	1231	270
410	1234	267
411	1236	264
412	1239	261
413	1241	257
414	1244	254
415	1247	251
416	1249	248
417	1252	245
418	1255	242
419	1257	239
420	1260	236
421	1262	233
422	1265	230
423	1268	227
424	1271	224
425	1273	221
426	1276	218
427	1278	215
428	1280	211
429	1283	208
430	1285	205
431	1289	202
432	1291	199
433	1294	196
434	1296	193
435	1299	190
436	1302	187
437	1304	184
438	1306	181
439	1309	178
440	1311	175
441	1314	172
442	1316	169
443	1320	166
444	1323	163
445	1326	160
446	1328	157
447	1330	154
448	1333	151
449	1337	148
450	1339	145
451	1342	142
452	1344	139
453	1347	136
454	1352	133
455	1354	130
456	1357	127
457	1360	124
458	1363	121
459	1366	118
460	1368	115
461	1371	112
462	1373	109
463	1376	106
464	1378	103
465	1381	100
466	1385	97
467	1387	94
468	1390	91
469	1392	88
470	1395	85
471	1398	82
472	1401	80
473	1404	77
474	1406	74
475	1409	71
476	1412	68
477	1414	65
478	1417	62
479	1419	59
480	1422	56
481	1424	53
482	1427	50
483	1430	47
484	1433	44
485	1435	41
486	1437	38
487	1440	35
488	1442	32
489	1445	29
490	1448	26
491	1451	23
492	1453	20
493	1456	17
494	1458	14
495	1461	11
496	1464	8
497	1467	5
498	1469	2
499	1472	0
