iter	TotalF1	MultiClass
0	0.8091697826	1.087022378
1	0.8468328123	1.078347333
2	0.8567357765	1.071439171
3	0.8558951474	1.06357481
4	0.8684391644	1.052386217
5	0.8770319507	1.043134478
6	0.8765710532	1.034479586
7	0.8738269431	1.024484045
8	0.8732443355	1.020940875
9	0.875530973	1.011542406
10	0.8615260195	1.004310147
11	0.8727091843	0.9940262163
12	0.8722732802	0.9881147588
13	0.8711793235	0.9801203717
14	0.8691124437	0.9729610864
15	0.8702611214	0.9645682167
16	0.8700887703	0.9584536609
17	0.8705045536	0.9493100519
18	0.8726814204	0.9422842455
19	0.8727890717	0.9345528761
20	0.8732819844	0.9266790204
21	0.8613047478	0.9172880948
22	0.8729376446	0.9093853743
23	0.873056087	0.9030937308
24	0.8731277863	0.8976976912
25	0.8836443325	0.8927938651
26	0.8823489825	0.8859309916
27	0.8838210105	0.8794387428
28	0.882132842	0.8730970224
29	0.8811749588	0.8696375999
30	0.882649733	0.8649488121
31	0.8729573143	0.8575840555
32	0.8719946602	0.8505324073
33	0.872625815	0.8451198115
34	0.871824704	0.8389208619
35	0.8722405762	0.8318664389
36	0.8721597021	0.8266174782
37	0.8732534119	0.821671372
38	0.8733005971	0.8152519432
39	0.8738473766	0.8114397442
40	0.8731692961	0.8052263934
41	0.873384724	0.8011030888
42	0.8732250768	0.7951279872
43	0.8734407127	0.7916311373
44	0.8729795042	0.7855304653
45	0.8739035775	0.7794540327
46	0.8739089538	0.7743307892
47	0.8745291865	0.7698226788
48	0.8736511152	0.7651547253
49	0.8739000151	0.7594957476
50	0.8739456524	0.7540499581
51	0.8745767018	0.749854437
52	0.8750356875	0.7471888954
53	0.8752478084	0.7415497484
54	0.8747010644	0.737372901
55	0.8744120752	0.7336556217
56	0.8748364807	0.7308340624
57	0.8744541477	0.7271765157
58	0.8750047634	0.7209523031
59	0.8749626936	0.7163758751
60	0.8754235378	0.7108338768
61	0.8758001553	0.7071016333
62	0.8759683645	0.7008093426
63	0.8865428638	0.6986497033
64	0.8861631561	0.6943450966
65	0.8863756691	0.6902367467
66	0.8864241482	0.68680271
67	0.8865444321	0.6828835484
68	0.8864600518	0.6800668052
69	0.8866241035	0.6768733639
70	0.886833428	0.6746570483
71	0.8870427173	0.6707913366
72	0.887205075	0.6684784336
73	0.8875828799	0.6624964334
74	0.8874564273	0.6596411734
75	0.8871223262	0.6555147927
76	0.887205075	0.6516648813
77	0.8874142753	0.6492083622
78	0.8873737011	0.6458629506
79	0.8869989734	0.6424641845
80	0.886786569	0.6393154176
81	0.8867803866	0.6350624374
82	0.8866163479	0.6315674995
83	0.8870302328	0.6272263394
84	0.8868194753	0.6233954817
85	0.8866539083	0.6213682501
86	0.8866554398	0.6174568807
87	0.8868194753	0.6150819347
88	0.8866132766	0.6115130088
89	0.8870317778	0.6086296268
90	0.8868210079	0.6059950338
91	0.8866148101	0.6032508471
92	0.8866178901	0.6002221117
93	0.8868600973	0.5961903821
94	0.8865711129	0.5936575599
95	0.8866132766	0.5907441145
96	0.8866163479	0.5883767452
97	0.8868647026	0.5858212739
98	0.8869084061	0.5824963243
99	0.8869053176	0.5799014521
100	0.8871145317	0.5770975968
