iter	Passed	Remaining
0	141	70376
1	144	35944
2	146	24273
3	149	18492
4	151	15005
5	154	12739
6	159	11222
7	162	9993
8	166	9058
9	168	8255
10	171	7631
11	174	7095
12	177	6656
13	180	6258
14	182	5904
15	184	5592
16	187	5334
17	190	5110
18	193	4901
19	196	4711
20	198	4532
21	200	4365
22	204	4233
23	207	4108
24	210	3994
25	213	3885
26	215	3774
27	218	3678
28	220	3585
29	223	3502
30	226	3430
31	230	3365
32	232	3290
33	241	3306
34	243	3236
35	246	3174
36	248	3113
37	252	3066
38	254	3013
39	258	2976
40	261	2925
41	263	2875
42	266	2829
43	269	2789
44	272	2760
45	275	2717
46	278	2681
47	280	2640
48	283	2607
49	286	2578
50	289	2553
51	292	2521
52	295	2491
53	297	2459
54	300	2434
55	304	2412
56	307	2387
57	309	2360
58	312	2334
59	315	2314
60	318	2292
61	322	2274
62	324	2248
63	326	2227
64	329	2203
65	331	2182
66	334	2163
67	338	2148
68	340	2126
69	343	2108
70	345	2090
71	348	2072
72	351	2057
73	354	2043
74	357	2025
75	360	2011
76	362	1993
77	366	1981
78	369	1969
79	372	1955
80	375	1940
81	377	1923
82	379	1908
83	382	1894
84	388	1898
85	393	1894
86	396	1881
87	399	1869
88	403	1862
89	406	1851
90	409	1840
91	412	1828
92	415	1817
93	419	1812
94	424	1811
95	428	1804
96	432	1795
97	435	1787
98	438	1775
99	441	1766
100	444	1755
101	447	1746
102	451	1741
103	454	1731
104	458	1726
105	462	1719
106	465	1709
107	469	1704
108	472	1696
109	475	1687
110	479	1681
111	482	1673
112	486	1667
113	490	1659
114	492	1650
115	495	1641
116	498	1632
117	501	1624
118	504	1616
119	508	1609
120	511	1602
121	515	1596
122	518	1588
123	521	1581
124	524	1573
125	527	1566
126	530	1557
127	533	1551
128	536	1543
129	540	1537
130	542	1529
131	545	1522
132	550	1518
133	553	1511
134	556	1503
135	559	1496
136	561	1488
137	564	1482
138	567	1474
139	570	1467
140	573	1460
141	577	1456
142	581	1451
143	584	1445
144	587	1439
145	590	1432
146	593	1425
147	596	1419
148	599	1413
149	603	1407
150	606	1401
151	609	1396
152	612	1389
153	615	1383
154	618	1377
155	621	1370
156	625	1365
157	627	1358
158	631	1353
159	634	1348
160	637	1343
161	641	1338
162	644	1331
163	647	1326
164	650	1320
165	653	1314
166	656	1309
167	659	1303
168	662	1298
169	666	1292
170	669	1288
171	673	1284
172	676	1278
173	680	1274
174	683	1268
175	686	1263
176	689	1257
177	692	1252
178	695	1247
179	699	1242
180	702	1237
181	705	1232
182	708	1227
183	711	1222
184	714	1216
185	717	1211
186	720	1206
187	723	1200
188	726	1195
189	730	1191
190	734	1188
191	737	1182
192	740	1177
193	743	1173
194	746	1167
195	749	1162
196	752	1156
197	755	1151
198	758	1146
199	761	1142
200	765	1139
201	768	1133
202	772	1129
203	774	1124
204	777	1119
205	781	1115
206	785	1112
207	789	1108
208	793	1104
209	796	1100
210	799	1095
211	803	1091
212	807	1088
213	810	1083
214	814	1079
215	817	1074
216	821	1071
217	825	1067
218	828	1062
219	832	1059
220	836	1055
221	839	1050
222	843	1047
223	846	1043
224	849	1038
225	854	1035
226	858	1031
227	861	1027
228	864	1023
229	868	1019
230	871	1014
231	875	1011
232	879	1007
233	882	1002
234	886	999
235	889	995
236	893	991
237	897	988
238	901	984
239	903	979
240	907	974
241	910	970
242	913	966
243	917	962
244	919	957
245	924	954
246	928	950
247	930	945
248	934	941
249	937	937
250	940	933
251	944	929
252	946	924
253	949	919
254	952	915
255	956	911
256	959	906
257	962	902
258	966	899
259	969	894
260	972	890
261	975	885
262	977	881
263	981	877
264	984	873
265	988	869
266	992	866
267	995	861
268	999	858
269	1003	855
270	1006	850
271	1009	846
272	1012	841
273	1015	837
274	1019	833
275	1021	829
276	1024	825
277	1027	820
278	1030	816
279	1033	812
280	1036	808
281	1039	803
282	1042	799
283	1044	794
284	1047	790
285	1051	786
286	1054	782
287	1056	777
288	1058	773
289	1061	768
290	1064	764
291	1068	760
292	1070	756
293	1073	752
294	1075	747
295	1084	747
296	1086	742
297	1088	738
298	1091	733
299	1093	729
300	1096	725
301	1100	721
302	1102	716
303	1104	712
304	1107	707
305	1109	703
306	1114	700
307	1118	697
308	1122	693
309	1124	689
310	1128	685
311	1131	681
312	1134	677
313	1136	673
314	1139	669
315	1141	664
316	1144	660
317	1147	656
318	1150	652
319	1152	648
320	1155	644
321	1157	639
322	1160	635
323	1163	631
324	1166	627
325	1168	623
326	1171	619
327	1173	615
328	1176	611
329	1179	607
330	1182	603
331	1185	599
332	1187	595
333	1190	591
334	1193	587
335	1195	583
336	1198	579
337	1201	576
338	1204	572
339	1207	568
340	1209	564
341	1212	560
342	1214	556
343	1217	552
344	1220	548
345	1224	544
346	1226	540
347	1230	537
348	1233	533
349	1236	529
350	1238	525
351	1241	521
352	1244	518
353	1247	514
354	1250	510
355	1252	506
356	1254	502
357	1257	498
358	1261	495
359	1263	491
360	1265	487
361	1268	483
362	1270	479
363	1274	476
364	1277	472
365	1279	468
366	1282	464
367	1284	460
368	1287	457
369	1290	453
370	1293	449
371	1296	446
372	1298	442
373	1301	438
374	1303	434
375	1306	430
376	1309	427
377	1312	423
378	1314	419
379	1317	415
380	1319	412
381	1324	409
382	1328	405
383	1331	402
384	1334	398
385	1337	394
386	1340	391
387	1343	387
388	1346	384
389	1349	380
390	1351	376
391	1355	373
392	1358	369
393	1360	366
394	1363	362
395	1365	358
396	1368	354
397	1371	351
398	1374	347
399	1376	344
400	1379	340
401	1382	336
402	1384	333
403	1387	329
404	1390	326
405	1393	322
406	1395	318
407	1398	315
408	1401	311
409	1404	308
410	1408	304
411	1410	301
412	1413	297
413	1415	294
414	1418	290
415	1421	286
416	1424	283
417	1427	279
418	1430	276
419	1443	274
420	1448	271
421	1458	269
422	1461	266
423	1464	262
424	1470	259
425	1474	256
426	1477	252
427	1480	248
428	1482	245
429	1485	241
430	1488	238
431	1491	234
432	1493	231
433	1495	227
434	1498	223
435	1502	220
436	1506	217
437	1508	213
438	1511	210
439	1514	206
440	1517	202
441	1519	199
442	1522	195
443	1525	192
444	1528	188
445	1531	185
446	1533	181
447	1536	178
448	1539	174
449	1541	171
450	1544	167
451	1547	164
452	1550	160
453	1552	157
454	1555	153
455	1558	150
456	1561	146
457	1563	143
458	1566	139
459	1569	136
460	1571	132
461	1574	129
462	1576	125
463	1578	122
464	1581	119
465	1584	115
466	1587	112
467	1590	108
468	1592	105
469	1595	101
470	1597	98
471	1601	94
472	1603	91
473	1606	88
474	1609	84
475	1611	81
476	1614	77
477	1617	74
478	1620	71
479	1623	67
480	1625	64
481	1627	60
482	1630	57
483	1634	54
484	1637	50
485	1639	47
486	1642	43
487	1645	40
488	1648	37
489	1651	33
490	1653	30
491	1656	26
492	1658	23
493	1661	20
494	1664	16
495	1667	13
496	1670	10
497	1673	6
498	1675	3
499	1678	0
